slug,intent,path_en,seoTitle_en,seoTitle_length,seoTitle_status,seoDescription_en,seoDescription_length,seoDescription_status
profit-target-calculator,commercial,/en/profit-target-calculator,Profit Target Calculator for Business Owners (Instant),54,OK,"Find the sales needed to hit your profit goal. Built for Business Owners, this free online profit target calculator gives accurate results in seconds for...",156,OK
revenue-projection-calculator,informational,/en/revenue-projection-calculator,Revenue Projection Formula & Calculator (Free Online),53,OK,"Forecast future sales with clear assumptions. Built for Founders & Planning Teams, this free online revenue projection calculator gives accurate results in...",158,OK
roi-calculator,commercial,/en/roi-calculator,"ROI Calculator for Founders, Marketers, and Analysts (Instant)",62,OK,"Measure return quickly before committing budget. Built for Founders, Marketers, and Analysts, this free online roi calculator gives accurate results in...",154,OK
safety-stock-calculator,commercial,/en/safety-stock-calculator,Best Safety Stock Calculator for Inventory Managers,51,OK,"Set buffer stock levels to reduce stockout risk. Built for Inventory Managers, this free online safety stock calculator gives accurate results in seconds...",156,OK
salary-take-home-calculator,transactional,/en/salary-take-home-calculator,Take-Home Pay Tool for Employees & HR Teams (Free & Accurate),61,OK,"Estimate net salary after deductions in seconds. Built for Employees & HR Teams, this free online take-home pay calculator gives accurate results in seconds...",159,OK
sales-commission-calculator,transactional,/en/sales-commission-calculator,Sales Commission Tool for Sales Managers & Teams (Free & Accurate),66,OK,"Calculate commission payouts quickly and clearly. Built for Sales Managers & Teams, this free online sales commission calculator gives accurate results in...",157,OK
savings-goal-calculator,informational,/en/savings-goal-calculator,How to Calculate Savings Goal (Free Online Tool),48,OK,"Plan monthly savings needed to hit your target. Built for Personal Finance Planners, this free online savings goal calculator gives accurate results in...",154,OK
shipping-margin-calculator,transactional,/en/shipping-margin-calculator,Free Shipping Margin Calculator Online for Online Sellers,57,OK,"See real profit after shipping and fulfillment costs. Built for Online Sellers, this free online shipping margin calculator gives accurate results in...",152,OK
simple-interest-calculator,informational,/en/simple-interest-calculator,How to Calculate Simple Interest (Free Online Tool),51,OK,"Calculate interest and final value quickly. Built for Students, Borrowers, and Savers, this free online simple interest calculator gives accurate results in...",159,OK
stock-reorder-point-calculator,commercial,/en/stock-reorder-point-calculator,Best Reorder Point Calculator for Inventory & Procurement Teams,63,OK,"Set smarter reorder triggers to avoid stockouts. Built for Inventory & Procurement Teams, this free online stock reorder point calculator gives accurate...",155,OK
subscription-pricing-calculator,commercial,/en/subscription-pricing-calculator,Best Subscription Pricing Calculator for SaaS Founders & Product Teams,70,OK,"Set profitable recurring prices from cost targets. Built for SaaS Founders & Product Teams, this free online subscription pricing calculator gives accurate...",158,OK
tax-inclusive-price-calculator,transactional,/en/tax-inclusive-price-calculator,Tax-Inclusive Price Tool for Sales and Billing Teams (Free & Accurate),70,OK,"Split tax-inclusive totals into base and tax. Built for Sales and Billing Teams, this free online tax inclusive price calculator gives accurate results in...",157,OK
unit-cost-calculator,commercial,/en/unit-cost-calculator,Unit Cost Calculator for Manufacturing & Operations Teams (Instant),67,OK,"Know true cost per item before pricing. Built for Manufacturing & Operations Teams, this free online unit cost calculator gives accurate results in seconds...",158,OK
vat-reverse-calculator,transactional,/en/vat-reverse-calculator,VAT Reverse Tool for Finance & Tax Teams (Free & Accurate),58,OK,"Extract pre-tax values from VAT-inclusive totals. Built for Finance & Tax Teams, this free online vat reverse calculator gives accurate results in seconds...",157,OK
working-capital-calculator,commercial,/en/working-capital-calculator,Working Capital Calculator for SMEs & Operations Teams (Instant),64,OK,"Check liquidity needs for daily operations. Built for SMEs & Operations Teams, this free online working capital calculator gives accurate results in seconds...",159,OK
